CustomerID,Recommendations
C0001,[(C0069,0.9234),(C0072,0.8632),(C0183,0.8217)]
C0002,[(C0029,0.8631),(C0036,0.8521),(C0159,0.8472)]
C0003,[(C0144,0.7973),(C0026,0.7181),(C0166,0.7046)]
C0004,[(C0075,0.9735),(C0065,0.9230),(C0113,0.8727)]
C0005,[(C0085,0.8880),(C0123,0.8496),(C0095,0.8317)]
C0006,[(C0185,0.8879),(C0196,0.8577),(C0079,0.8197)]
C0007,[(C0085,0.8972),(C0080,0.7927),(C0140,0.7774)]
C0008,[(C0109,0.7965),(C0098,0.7836),(C0194,0.7611)]
C0009,[(C0083,0.9530),(C0198,0.9478),(C0032,0.9385)]
C0010,[(C0111,0.9253),(C0029,0.8953),(C0142,0.8576)]
C0011,[(C0056,0.7655),(C0099,0.7143),(C0016,0.6815)]
C0012,[(C0104,0.8751),(C0113,0.8724),(C0195,0.8676)]
C0013,[(C0046,0.9541),(C0099,0.9528),(C0188,0.8881)]
C0014,[(C0058,0.9454),(C0130,0.9351),(C0150,0.9303)]
C0015,[(C0071,0.9249),(C0123,0.9147),(C0043,0.9043)]
C0016,[(C0011,0.6815),(C0126,0.6417),(C0061,0.6352)]
C0017,[(C0065,0.8933),(C0075,0.8911),(C0122,0.8599)]
C0018,[(C0114,0.8653),(C0087,0.8271),(C0168,0.7919)]
C0019,[(C0119,0.8484),(C0157,0.7973),(C0094,0.7951)]
C0020,[(C0080,0.9388),(C0110,0.9149),(C0112,0.8959)]
